	salami_id	Album	Album Artist	Artist	Artwork Count	BPM	Bit Rate	Comments	Compilation	Composer	Date Added	Date Modified	Disc Count	Disc Number	File Folder Count	Genre	Grouping	Kind	Library Folder Count	Location	Name	Persistent ID	Play Count	Play Date	Play Date UTC	Sample Rate	Size	Sort Album	Sort Album Artist	Sort Artist	Sort Name	Total Time	Track Count	Track ID	Track Number	Track Type	Volume Adjustment	Year	salami_length	youtube_id	youtube_length	coverage	coverage_percent	onset_in_youtube	onset_in_salami	file_name
0	6	Ladyhawk		Ladyhawk			223	From W			2010-04-23 23:01:47	2007-05-09 20:20:00			5	Alternative Pop / Rock		MPEG audio file	2	file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Popular/Ladyhawk/Ladyhawk/My%20Old%20Jacknife.mp3	My Old Jacknife	966911A488D4FA41				44100	4761728					170527	10.0	40642	3.0	File		2006.0	170.46666666666667	QurVLnYoFqo	174.0	163.5	0.9591317950723504	4.8	0.2	Ladyhawk - My Old Jackknife-QurVLnYoFqo.mp3
1	10	Kiss Me Kiss Me Kiss Me		The Cure			192	From W			2010-04-23 23:09:40	2007-03-19 14:29:22			5	Alternative Pop / Rock		MPEG audio file	2	file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Popular/The%20Cure/Kiss%20Me%20Kiss%20Me%20Kiss%20Me/How%20Beautiful%20You%20Are.mp3	How Beautiful You Are	3F1941D76DEF108C				44100	7543799			Cure		314226	18.0	58717	6.0	File		1987.0	314.23225	s08jD3E6Mpg	315.0	305.9	0.9734837846847354	0.3	0.3	The Cure - How Beautiful You Are-s08jD3E6Mpg.mp3
2	12	Solace		Sarah McLachlan			192	From CD		Sarah McLachlan	2010-04-23 23:08:19	2006-09-30 22:53:46			5	Alternative Pop / Rock		MPEG audio file	2	file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Popular/Sarah%20Mclachlan/Solace/Mercy.mp3	Mercy	47CA88BC0813EE4F				44100	6297923					262321	10.0	54406	10.0	File		1991.0	262.32166666666666	3noiG0gtlbU	263.0	252.7	0.9633211133913198	4.7	4.6	Mercy-3noiG0gtlbU.mp3
3	14	Bif Naked		Bif Naked			128	From tape			2010-04-23 22:52:16	2006-09-30 22:19:26			5	Alternative Pop / Rock		MPEG audio file	2	file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Popular/Bif%20Naked/Bif%20Naked/Over%20You.mp3	Over You	4EE8B8D5C723228D				44100	3972476					248267	11.0	19723	6.0	File		1995.0	248.26775	Q5u1ZbIaNps	256.0	225.5	0.908293566119643	7.4	6.8	Over You-Q5u1ZbIaNps.mp3
4	16	White Lilies Island		Natalie Imbruglia			192	From CD		Imbruglia; Wilder	2010-04-23 23:04:43	2006-09-30 22:43:10			5	Alternative Pop / Rock		MPEG audio file	2	file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Popular/Natalie%20Imbruglia/White%20Lilies%20Island/Goodbye.mp3	Goodbye	C7117C66987BA6C1				44100	7228945					301113	12.0	46510	6.0	File		2002.0	301.1135	jLnZbUsiYTI	299.0	297.5	0.987999541701053	0.1	0.1	Goodbye-jLnZbUsiYTI.mp3
5	22	Deuces Wild		B.B. King			192	From CD			2010-04-23 22:52:09	2006-09-30 22:18:52			5	Blues - Contemporary Blues		MPEG audio file	2	file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Popular/B.B.%20King/Deuces%20Wild/Dangerous%20Mood%20(With%20Joe%20Cocker).mp3	Dangerous Mood (With Joe Cocker)	E52DAD90CEF8C7F1				44100	7099779					295732	13.0	19246	10.0	File		1997.0	295.73225	fUKGNa3LSXA	296.0	288.7	0.9762208889967192	0.7	0.3	B.B. King & Joe Cocker - [Deuces Wild #10] Dangerous Mood-fUKGNa3LSXA.mp3
6	24	The Word		S-Word			192	From CD		John Medeski, North Mississippi Allstars, Robert Randolph	2010-04-23 23:08:03	2006-09-30 22:52:56			5	Blues - Contemporary Blues		MPEG audio file	2	file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Popular/S-Word/The%20Word/Blood%20On%20That%20Rock.mp3	Blood On That Rock	F78C8FB038A999BC				44100	4872334	Word				202919	11.0	53500	3.0	File		2001.0	202.91920833333333	iNTRtSJlbiM	203.0	199.8	0.9846283239573386	0.7	0.7	Blood On That Rock-iNTRtSJlbiM.mp3
7	26	Deep Blue: The Rounder 25th Anniversary Blues Anthology		Jimmy Rogers & Ronnie Earl			160	From CD	True	James Lane	2010-04-23 22:56:21	2006-10-01 18:58:56	2.0	1.0	5	Blues - Contemporary Blues		MPEG audio file	2	file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Popular/Compilations/Deep%20Blue_%20The%20Rounder%2025th%20Anniversary/Left%20Me%20With%20A%20Broken%20Heart.mp3	Left Me With A Broken Heart	E66553C85F42A9EB				44100	6293649					314566	15.0	26293	3.0	File		1995.0	314.56655	E6mFz-0n6J8	311.0	309.8	0.9848472445655776	0.2	0.4	Jimmy Rogers & Ronnie Earl & The Broadcasters-Left Me-E6mFz-0n6J8.mp3
8	32	At the Bunkhouse		Brownie McGhee & Sonny Terry			128	From tape			2010-04-23 22:54:03	2006-09-30 22:21:20			5	Blues - Country Blues		MPEG audio file	2	file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Popular/Brownie%20McGhee%20&%20Sonny%20Terry/At%20the%20Bunkhouse/C'mon%20If%20You're%20Comin'.mp3	C'mon If You're Comin'	294606DA8AD7DC18				44100	3159555					197459	11.0	22717	9.0	File		1965.0	197.4595625	WrGrnQALzao	206.0	166.9	0.8452363506072288	1.3	0.4	Come On If You're Comin' - Sonny Terry & Brownie Mcghee-WrGrnQALzao.mp3
9	36	Black Snake Moan Soundtrack		Precious Bryant			320	From W	True		2010-04-23 22:55:24	2007-07-31 18:21:00			5	Blues - Country Blues		MPEG audio file	2	file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Popular/Compilations/Black%20Snake%20Moan%20Soundtrack/Morning%20Train.mp3	Morning Train	5C0D600A79CA0311				44100	7229807					180688	17.0	24715	8.0	File		2007.0	180.689	A_pwcKjfC5M	181.0	179.1	0.9912058841434728	0.7	0.7	Morning Train-A_pwcKjfC5M.mp3
